"id","title","description","price","category","image","specs","skv","mrp","sale_price","features","stock"
"1","Arduino Uno R3","The classic microcontroller board for your projects. Reliable and easy to use.","450","Development Boards","/uploads/Arduino_Uno R3.jpg","{""Microcontroller"":""ATmega328P"",""Operating Voltage"":""5V""}","SKV-ARD-001","650","450","[""ATmega328P Microcontroller"",""Operating Voltage: 5V"",""Input Voltage (recommended): 7-12V"",""Digital I/O Pins: 14""]","100"
"2","Raspberry Pi 4 Model B (4GB)","A powerful mini-computer for IoT, media centers, and more.","50","Development Boards","/uploads/Raspberry Pi 4 Model B (4GB).jpg","{""Product Type"":""Raspberry Pi Single Board Computer"",""Processor"":""Broadcom ARM Processor (Model Dependent)"",""Operating Voltage"":""5V DC"",""RAM"":""1 GB - 8 GB LPDDR (Model Dependent)"",""Wireless Connectivity"":""Wi-Fi and Bluetooth (Available on Supported Models)"",""Networking"":""10/100/1000 Mbps Ethernet (Model Dependent)"",""Storage"":""MicroSD Card"",""USB Interface"":""USB 2.0 / USB 3.0 (Model Dependent)"",""Weight"":""Approximately 45 g""}","C16","5500","4500","[""Compact single-board computer capable of running Linux-based operating systems"",""Supports Python, C/C++, Java, Node.js, and many other programming languages"",""Provides GPIO, I2C, SPI, UART, PWM, USB, HDMI, CSI Camera, and DSI Display interfaces"",""Compatible with Raspberry Pi OS, Ubuntu, Debian, and various Linux distributions"",""Ideal for IoT, robotics, AI and machine learning, home automation, media centers, industrial automation, and embedded computing projects""]","100"
"3","Ultrasonic Sensor Module - HC-SR04","The Ultrasonic Sensor uses Ultrasonic waves to determine the distance of an object like Bats, hence it can be used as a distance measuring sensor. There are two Ultrasonic Transducers present in which one acts as a Transmitter which transmits a high frequency Ultrasonic signal and other acts as a receiver which will wait for the receiving of echo signal which gets reflected by any object in its path. The time between the two signals when divider by speed of sound gives us the distance of the object. Theoretically the sensor claims to have a measuring distance of 2cm to 400cm. However, a range up to 75-80cm can be easily achieved practically.","70","Sensors","/uploads/Ultrasonic Sensor Module - HC-SR04.jpeg","{""Model"":""HC-SR04"",""Sensor Type"":""Ultrasonic Distance Sensor Module"",""Operating Voltage"":""5V DC"",""Measuring Range"":""2 cm - 400 cm"",""Operating Frequency"":""40 kHz"",""Accuracy"":""±3 mm"",""Weight"":""Approximately 10 g""}","S45","140","70","[""Measures distance using ultrasonic sound waves"",""Provides accurate and non-contact distance measurement"",""Simple Trigger and Echo interface for easy microcontroller integration"",""Compatible with Arduino, ESP32 (using a voltage divider on the Echo pin), ESP8266, Raspberry Pi, and STM32"",""Ideal for obstacle avoidance, robotics, parking assistance, liquid level measurement, and automation projects""]","100"
"4","ESP8266 NodeMCU","WiFi enabled microcontroller for IoT applications.","350","Modules","/uploads/ESP8266 NodeMCU.webp","{""WiFi"":""802.11 b/g/n"",""Voltage"":""3.3V""}","SKV-MOD-004","500","350","[""Wi-Fi Module - ESP-12E module similar to ESP-12 module but with 6 extra GPIOs"",""USB - micro USB port for power, programming and debugging"",""Headers - 2x 2.54mm 15-pin header with access to GPIOs, SPI, UART, ADC and power pins""]","100"
"5","SG90 Micro Servo Motor","Tiny and lightweight with high output power. Ideal for RC projects.","120","Motors","/uploads/SG90 Micro Servo Motor.jpg","{""Torque"":""1.8 kg-cm"",""Speed"":""0.1 sec/60deg""}","SKV-MOT-005","200","120","[""Operating Voltage: 3.0V~7.2V"",""Operating Speed: 0.1sec/60degree(4.8V)"",""Stall Torque: 1.2kg/cm(4.8V)"",""Dead Band Width: 7usec""]","100"
"6","Li-Po Battery 3.7V 1000mAh","High capacity rechargeable lithium polymer battery.","400","Battery","/uploads/Li-Po Battery 3.7V 1000mAh.jpg","{""Capacity"":""1000mAh"",""Voltage"":""3.7V""}","SKV-BAT-006","600","400","[""Voltage: 3.7V"",""Capacity: 1000mAh"",""Type: Lithium Polymer"",""Rechargeable: Yes""]","100"
"7","DHT11 Temperature & Humidity Sensor","Basic digital temperature and humidity sensor.","90","Sensors","/uploads/DHT-11 Temperature And Humidity Sensor.jpeg","{""Temp Range"":""0-50°C"",""Humidity Range"":""20-80%""}","SKV-SEN-007","150","90","[""Supply Voltage: +5 V"",""Temperature Range : 0°C to 50°C"",""Humidity Range: 20% to 90%""]","100"
"8","OLED-Display","I2C OLED display module for Arduino and Pi.","250","Displays","/uploads/OLED-Display.jpg","{""Resolution"":""128x64"",""Interface"":""I2C""}","SKV-DIS-008","450","250","[""128x64 pixel resolution"",""I2C Interface"",""Driver IC: SSD1306"",""Operating Voltage: 3.3V - 5V""]","100"
"9","ADXL345 Triple Axis Accelerometer Board","The ADXL345 is a small, thin, low power, 3-axis accelerometer with high resolution (13-bit) measurement at up to Â±16g. Digital output data is formatted as 16-bit twos complement and is accessible through either an SPI (3- or 4-wire) or I2C digital interface. The ADXL345 is well suited for mobile device applications. It measures the static acceleration of gravity in tilt-sensing applications, as well as dynamic acceleration resulting from motion or shock. Its high resolution (4 mg/LSB) enables measurement of inclination changes less than 1.0Â°. Low power modes enable intelligent motion-based power management with threshold sensing and active acceleration measurement at extremely low power dissipation.","160","","https://placehold.co/400x400?text=No+Image","{""Supply Voltage"":""3.3V or 5V"",""Sensitivity"":""X: 28.6 LSB/g, Y: 31.2 LSB/g, Z: 34.5 LSB/g"",""Output Data Rate (ODR)"":""800 Hz"",""Sensing Range"":""Â±2g, Â±4g, Â±8g, Â±16g""}","S11A","320","160","[""Ultra-Low Power: 40ÂµA in measurement mode, 0.1ÂµA in standby @2.5V"",""Free-Fall Detection"",""Tap/Double Tap Detection"",""Flexible interrupt modes mappable to either interrupt pin"",""Measurement ranges selectable via serial command"",""Bandwidth selectable via serial command"",""Wide temperature range (â\u0088\u009240Â°C to +85Â°C)"",""10,000g shock survival"",""Supports 5V/3.3V voltage input"",""Onboard RT9161 power chip with low dropout and fast load response"",""User-selectable resolution"",""Fixed 10-bit resolution"",""Full resolution up to 13-bit at Â±16g (4 mg/LSB scale factor maintained in all G ranges)""]","100"
"10","ACS712 20AMP AcDC Current Sensor","ACS712 Current Sensor Module  can sense up to 20 A of current flow. Sensing and controlling the current flow is a fundamental requirement in wide variety of applications, which includes over-current protection circuits, battery chargers, switching mode power supplies, digital watt meters, programmable current sources, etc. It is based on ACS712 sensor, which is precise, low-offset, linear Hall circuit with a copper conduction path located near the surface of the die. Applied current flowing through this copper conduction path generates a magnetic field in which the Hall IC converts into a proportional voltage.","100","Sensors","/uploads/ACS712 20AMP AcDC Current Sensor.jpeg","{""Supply Voltage"":""4.5V ~ 5.5V DC"",""Current Measurement Range"":""-20A ~ 20A"",""Sensitivity"":""100 mV/A"",""Signal Path"":""Low-noise analog"",""Power-On Time"":""35 Âµs"",""Output Rise Time"":""5 Âµs (step input response)"",""Package"":""SOIC-8, small footprint, low-profile""}","S12","200","100","[""Nearly zero magnetic hysteresis"",""5.0V single-supply operation"",""66 to 185 mV/A output sensitivity"",""Output voltage proportional to AC or DC current"",""Factory-trimmed for accuracy"",""Extremely stable output offset voltage"",""Ratiometric output from supply voltage"",""2.1 kV RMS minimum isolation voltage (pins 1-4 to pins 5-8)""]","100"
